Region,PETs,Count,Mean(s),Min(s),MinPET,Max(s),MaxPET
[ESM]RunPhase1,560,1,626.5113,612.4955,320,642.8218,300
[ATM]RunPhase1,312,96,577.8815,541.7695,0,642.7373,297
[fv3_fcst]Run1,288,96,547.8229,517.6193,276,580.1883,162
[fv3_fcst]Run2,288,96,24.4803,7.0177,162,57.7789,266
[wrtComp_01]Run1,24,2,41.3215,39.4705,291,42.5131,293
[MED-TO-OCN]RunPhase1,408,12,137.6190,0.0053,24,467.9841,361
[WAV]RunPhase1,80,96,390.7241,381.6555,544,402.9819,487
[ESM]Init1,560,1,94.4449,94.4377,535,94.4516,12
[ATM]IPDv01p1,312,1,30.8495,30.7634,310,30.8614,87
[fv3_fcst]Init1,288,1,25.6360,25.6261,285,25.6448,200
[wrtComp_01]Init1,24,1,0.0410,0.0400,305,0.0421,308
[EARTHgridcomponent-TO-MED]IPDv05p6b,560,1,5.9569,0.0009,518,11.0756,434
[WAV-TO-OCN]IPDv05p6b,200,1,10.2389,8.9857,554,11.0743,313
[MED]IPDv03p7,288,2,5.0744,5.0674,287,5.0913,34
[OCN]IPDv03p1,120,1,11.6831,11.6819,417,11.6874,377
[ESM]FinalizePhase1,560,1,7.9071,0.0111,499,11.9074,21
[ATM]FinalizePhase1,312,1,10.9393,0.0019,306,11.8516,11
[fv3_fcst]Final1,288,1,11.8498,11.8484,265,11.8508,24
[wrtComp_01]Final1,24,1,0.0000,0.0000,291,0.0000,290
[OCN]FinalizePhase1,120,1,8.3089,6.5348,312,8.6178,320
[WAV]FinalizePhase1,80,1,0.0021,0.0011,485,0.0025,558
